year,step,length_km,area_km2,eroded_m3,deposited_m3,net_change_m3,storm_event,sea_level_m
0.0,0,6391.1,419695.1,0.0,0.0,0.0,false,0.0000
3.3,1,6342.8,419689.8,48256.2,0.0,48256.2,false,0.0500
6.7,2,6302.9,419684.3,39878.0,0.0,39878.0,false,0.0999
10.0,3,6269.2,419678.6,33692.4,0.0,33692.4,false,0.1499
13.3,4,6240.4,419672.8,28793.1,0.0,28793.1,false,0.1998
16.6,5,6215.2,419666.9,25236.8,0.0,25236.8,false,0.2497
20.0,6,6192.8,419661.0,22374.3,0.0,22374.3,false,0.2997
23.3,7,6173.0,419655.0,19875.8,0.0,19875.8,false,0.3497
26.6,8,6155.1,419649.0,17880.4,0.0,17880.4,false,0.3996
30.0,9,6138.7,419643.0,16338.5,0.0,16338.5,false,0.4495
33.3,10,6123.6,419637.1,15127.0,0.0,15127.0,false,0.4995
36.6,11,6109.5,419631.4,14056.6,0.0,14056.6,false,0.5494
40.0,12,6096.3,419625.6,13239.1,0.0,13239.1,false,0.5994
43.3,13,6083.7,419619.8,12645.3,0.0,12645.3,false,0.6493
46.6,14,6071.6,419614.1,12081.3,0.0,12081.3,false,0.6993
50.0,15,6060.5,419608.5,11080.2,0.0,11080.2,false,0.7492
53.3,16,6049.6,419602.9,10914.9,0.0,10914.9,false,0.7992
